id,created_at,content,replies_count,reblogs_count,favourites_count,media_links,post_id,actual_return_before,actual_return_after,actual_volatility_before,actual_volatility_after,actual_return_change,actual_volatility_change,actual_price_change_10m,actual_price_change_1h,actual_price_change_1d,llm_sentiment_score,gpt4_return,gpt4_volatility,llm_cryptorelated,llm_emotiontype,llm_emotionlevel,llm_geopolitical,llm_economyimpact,llm_btcprice,llm_expectation
50,2025-10-27 08:03:09.169+00,"After winning THREE Elections, BY A LOT, I am now getting the best Polling Numbers that I have ever received. People see how strong the Economy is, the Trillions of Dollars of Investment pouring into our Country, the Record Setting Strong Border (After years of millions of criminals pouring through it, totally unvetted and unchecked!), ending 8 wars in eight months, no men playing in women’s sports, no transgender for everyone, rapidly falling Energy prices, and much more! Despite all of this, the Radical Left Losers are taking fake ads, not showing REAL Polls, but rather saying that I’m Polling at low levels. These are the people that I’ve been beating for years, and am continuing to do so, but by even bigger margins. These ads should not be allowed to run because they are FAKE! ",7364,11269,47858,[],115445084269284249,0.03338470754090826642,-0.01186473957172428869,0.021591241823958010792483,0.015710537977732365154336,-0.00182687006461327265,0.000232737142486728135,-0.00100690201133824614,-0.00577432953589327081,-1.17946310960376701400,5.0,0.3,0.6,0,3,7,6,5,1,8
51,2025-10-27 07:53:53.562+00,Landing in Japan now. Looking forward to seeing the Emperor! President DJT,1124,4173,26097,[],115445047857168881,0.03410242964775446992,-0.01196635968549529295,0.021569590391275625814222,0.015738954849440789176376,-0.00228561554947525711,-0.000312208919118904719,0.000062816358452637547276,-0.00540246639865597220,-1.18950475358033775300,5.0,0.0,0.1,0,1,3,4,1,0,7
54,2025-10-27 07:25:38.072+00,"Many people are petrified by the Radical Left, but I’m not, they keep getting me, and other Republicans, elected!",1065,5006,25049,[],115444936741535260,0.03837089801207690814,-0.01592192927995629551,0.021426687453073612764710,0.015867182678852442691568,-0.00932944838423208546,-0.000095035160975721266,-0.00193519664213084536,-0.00535038644026305435,-1.57958454169990617500,5.0,0.2,0.6,0,3,6,6,2,0,7
55,2025-10-27 07:22:27.389+00,"Look how beautiful the Oval Office is, now. Many of those great paintings of past Presidents were in the vaults for over 100 years. Now they are for everyone to enjoy!",1995,6639,30378,"[{""id"":""115444923124070771"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/923/124/070/771/original/3f083f5767bb6c50.jpg"",""meta"":{""small"":{""size"":""980x653"",""width"":980,""aspect"":1.5007656967840735,""height"":653},""original"":{""size"":""1241x827"",""width"":1241,""aspect"":1.5006045949214026,""height"":827}},""type"":""image"",""blurhash"":""U78gc|oc0MtRIqbIs.oJ9Goft7M{-oWBR+t6"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/923/124/070/771/small/3f083f5767bb6c50.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115444924244999128,0.03837886630235367703,-0.01500186750900695369,0.021414111835005740000190,0.015878179541007910095183,-0.00890987986945324478,0.000325172089807528918,-0.00214273791857647612,-0.00458061286647509617,-1.48899001006395727100,5.0,0.0,0.1,0,1,3,2,0,0,8
56,2025-10-27 07:21:34.985+00,"In the Oval Office, getting ready to leave our imprint on the World. MAKE AMERICA GREAT AGAIN!",963,4962,25362,"[{""id"":""115444920537699347"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/920/537/699/347/original/a96136d9556b15b9.jpg"",""meta"":{""small"":{""size"":""653x980"",""width"":653,""aspect"":0.6663265306122449,""height"":980},""original"":{""size"":""827x1241"",""width"":827,""aspect"":0.6663980660757454,""height"":1241}},""type"":""image"",""blurhash"":""UXG95CxuM{of~qt7D%Rj-;j[D%RjxufQWBt7"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/920/537/699/347/small/a96136d9556b15b9.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115444920810335631,0.03805696767927109716,-0.01522175182276695730,0.021396357330885917442663,0.015888652709103161290105,-0.00713161736204530992,0.000206058298327848493,-0.00202981749141003960,-0.00395990257082919182,-1.51064865460803826000,5.0,0.2,0.3,0,1,6,7,4,1,8
57,2025-10-27 07:18:32.112+00,"BIG WIN in Argentina for Javier Milei, a wonderful Trump Endorsed Candidate! He’s making us all look good. Congratulations Javier!",497,4400,23128,[],115444908825959315,0.03745604163741846490,-0.01550224591068932088,0.021386693827798045895861,0.015883283488310207627011,-0.00536952517258567841,-0.000070801172205138302,-0.000016387518231114032114,-0.00338721376827531721,-1.53827046132588822500,5.0,0.3,0.6,0,1,7,6,4,1,5
58,2025-10-27 07:14:59.627+00,"The new TRUMP KENNEDY, whoops, I mean, KENNEDY CENTER, columns, beautifully painted in a luxuriant white enamel color, replacing the fake looking gold paint that was there for years. Many major improvements are being made, including seating, carpeting, wall coverings, ceilings, chandeliers, stages, heating and A/C, etc., to what will soon be the finest Arts and Entertainment Center anywhere in the World. Come see for yourself. We are remaining fully open during construction, renovation, and beautification. I am doing the same thing to the United States of America, but only on a “slightly” larger scale!",723,4357,20601,"[{""id"":""115444868181780493"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/868/181/780/493/original/b3d164c98055d33d.jpg"",""meta"":{""small"":{""size"":""693x923"",""width"":693,""aspect"":0.7508125677139762,""height"":923},""original"":{""size"":""878x1170"",""width"":878,""aspect"":0.7504273504273504,""height"":1170}},""type"":""image"",""blurhash"":""UJGS7Q~V00E14=t3s:IUR.adM|M|RPRjWBWB"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/868/181/780/493/small/b3d164c98055d33d.jpg"",""external_video_id"":null,""preview_remote_url"":null},{""id"":""115444868190066395"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/868/190/066/395/original/1d42910a81834a99.jpg"",""meta"":{""small"":{""size"":""924x693"",""width"":924,""aspect"":1.3333333333333333,""height"":693},""original"":{""size"":""1170x877"",""width"":1170,""aspect"":1.3340935005701253,""height"":877}},""type"":""image"",""blurhash"":""ULBphD^tM~fltUxUt4js0PE8${ocIwN3R%oe"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/868/190/066/395/small/1d42910a81834a99.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115444894900287475,0.03680841828645995361,-0.01521319925787008754,0.021384812483387367988918,0.015881200904654126738059,-0.00685079356310622542,-0.001328191347934520749,0.00059818492173538702,-0.00360895984522968454,-1.50980631443692683300,5.0,0.0,0.1,0,1,4,3,2,0,7
59,2025-10-27 06:58:43.293+00,"Why would anyone vote for New Jersey and Virginia Gubernatorial Candidates, Mikie Sherrill and Abigail Spanberger, when they want transgender for everybody, men playing in women’s sports, High Crime, and the most expensive Energy prices almost anywhere in the World? VOTE REPUBLICAN for massive Energy Cost reductions, large scale Tax Cuts, and basic Common Sense! Under President Trump, ME, Gasoline will come down to approximately $2 a Gallon, very soon! With the Democrats, you’ll be paying $4, $5, and $6 a Gallon, and your Electric and other Energy costs will, likewise, SOAR. VOTE REPUBLICAN FOR A GREAT AND VERY AFFORDABLE LIFE. All you’ll get from voting Democrat is unrelentingly High Crime, Energy prices through the roof, men playing in women’s sports, and HEARTACHE!",753,4948,18634,[],115444830915442121,0.03914183070953774119,-0.01732732081300517290,0.021173570717340703136914,0.016090759414767864252756,-0.00872432630458894112,0.001280558818676281488,-0.00045954841249926890,-0.00427815022590228476,-1.71780660945181258000,5.0,0.2,0.6,0,3,7,4,6,1,7
61,2025-10-27 04:13:18.061+00,RT: https://truthsocial.com/users/realDonaldTrump/statuses/115444178660278615,700,4426,19280,"[{""id"":""115444180055304325"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/180/055/304/325/original/1ee64da574629070.png"",""meta"":{""small"":{""size"":""910x362"",""width"":910,""aspect"":2.5138121546961325,""height"":362},""original"":{""size"":""910x362"",""width"":910,""aspect"":2.5138121546961325,""height"":362}},""type"":""image"",""blurhash"":""U6R{#@D%f5D%01xu4nMxIT%M9FM{xYxuIUa}"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/180/055/304/325/small/1ee64da574629070.png"",""external_video_id"":null,""preview_remote_url"":null}]",115444180455250491,0.03382107350569323658,-0.01148786096344264738,0.020721175934727731955043,0.016350232853743956803342,0.00197580616459036267,-0.0006366770022182257682,0.000066064504479320985377,0.00244421304023033159,-1.14221274419884634500,5.0,0.3,0.7,0,1,2,7,4,1,6
63,2025-10-27 04:08:57.578+00,Congratulations to President Javier Milei on his Landslide Victory in Argentina. He is doing a wonderful job! Our confidence in him was justified by the People of Argentina.,361,3927,18788,[],115444163384468198,0.03282784576988303129,-0.01021477143861008098,0.020691580363098887065710,0.016367058122794890152690,0.00400591894178158256,0.0007265048981087765140,0.00170078217022344180,0.00419873532697098070,-1.01627778456556268300,5.0,0.1,0.3,0,1,6,7,5,2,7
