id,created_at,content,replies_count,reblogs_count,favourites_count,media_links,post_id,actual_return_before_10m,actual_return_after_10m,actual_return_change_10m,actual_volatility_before_10m,actual_volatility_after_10m,actual_volatility_change_10m,actual_return_before_1h,actual_return_after_1h,actual_return_change_1h,actual_volatility_before_1h,actual_volatility_after_1h,actual_volatility_change_1h,actual_return_before_1d,actual_return_after_1d,actual_return_change_1d,actual_volatility_before_1d,actual_volatility_after_1d,actual_volatility_change_1d,llm_sentiment_score,llm_emotiontype,llm_emotionlevel,llm_economyimpact,llm_regulatoryimpact,llm_attentionintensity,gpt4_return_10m,gpt4_volatility_10m,gpt4_return_1h,gpt4_volatility_1h,gpt4_return_1d,gpt4_volatility_1d
50,2025-10-27 08:03:09.169+00,"After winning THREE Elections, BY A LOT, I am now getting the best Polling Numbers that I have ever received. People see how strong the Economy is, the Trillions of Dollars of Investment pouring into our Country, the Record Setting Strong Border (After years of millions of criminals pouring through it, totally unvetted and unchecked!), ending 8 wars in eight months, no men playing in women’s sports, no transgender for everyone, rapidly falling Energy prices, and much more! Despite all of this, the Radical Left Losers are taking fake ads, not showing REAL Polls, but rather saying that I’m Polling at low levels. These are the people that I’ve been beating for years, and am continuing to do so, but by even bigger margins. These ads should not be allowed to run because they are FAKE! ",7364,11269,47858,[],115445084269284249,0.00006281,-0.00100741,-0.00107022,0.0003125,0.00036062,0.00004812,-0.0039642,-0.00579107,-0.00182687,0.00055236,0.00044074,-0.00011162,0.03338471,-0.01186474,-0.04524945,0.00056865,0.00041415,-0.00015449,5.0,3,7,5,3,6,0.1,0.3,0.15,0.4,0.3,0.6
51,2025-10-27 07:53:53.562+00,Landing in Japan now. Looking forward to seeing the Emperor! President DJT,1124,4173,26097,[],115445047857168881,-0.0002194,0.00006281,0.00028221,0.00041114,0.0003125,-0.00009864,-0.0031315,-0.00541711,-0.00228562,0.00056452,0.00044499,-0.00011953,0.03410243,-0.01196636,-0.04606879,0.00056826,0.00041493,-0.00015332,5.0,1,3,1,0,3,0.0,0.1,0.0,0.1,0.0,0.1
54,2025-10-27 07:25:38.072+00,"Many people are petrified by the Radical Left, but I’m not, they keep getting me, and other Republicans, elected!",1065,5006,25049,[],115444936741535260,0.00037114,-0.00193707,-0.00230822,0.00046653,0.00042777,-0.00003876,0.0039647,-0.00536475,-0.00932945,0.00054706,0.00041547,-0.00013158,0.0383709,-0.01592193,-0.05429283,0.00056434,0.00041826,-0.00014609,5.0,3,6,2,0,3,0.0,0.2,0.0,0.1,0.2,0.6
55,2025-10-27 07:22:27.389+00,"Look how beautiful the Oval Office is, now. Many of those great paintings of past Presidents were in the vaults for over 100 years. Now they are for everyone to enjoy!",1995,6639,30378,"[{""id"":""115444923124070771"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/923/124/070/771/original/3f083f5767bb6c50.jpg"",""meta"":{""small"":{""size"":""980x653"",""width"":980,""aspect"":1.5007656967840735,""height"":653},""original"":{""size"":""1241x827"",""width"":1241,""aspect"":1.5006045949214026,""height"":827}},""type"":""image"",""blurhash"":""U78gc|oc0MtRIqbIs.oJ9Goft7M{-oWBR+t6"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/923/124/070/771/small/3f083f5767bb6c50.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115444924244999128,0.00079654,-0.00214504,-0.00294158,0.00041288,0.00045889,0.00004601,0.00431874,-0.00459114,-0.00890988,0.00052978,0.0004141,-0.00011569,0.03837887,-0.01500187,-0.05338073,0.00056358,0.00041823,-0.00014536,5.0,1,3,0,0,2,0.0,0.1,0.0,0.1,0.0,0.1
56,2025-10-27 07:21:34.985+00,"In the Oval Office, getting ready to leave our imprint on the World. MAKE AMERICA GREAT AGAIN!",963,4962,25362,"[{""id"":""115444920537699347"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/920/537/699/347/original/a96136d9556b15b9.jpg"",""meta"":{""small"":{""size"":""653x980"",""width"":653,""aspect"":0.6663265306122449,""height"":980},""original"":{""size"":""827x1241"",""width"":827,""aspect"":0.6663980660757454,""height"":1241}},""type"":""image"",""blurhash"":""UXG95CxuM{of~qt7D%Rj-;j[D%RjxufQWBt7"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/920/537/699/347/small/a96136d9556b15b9.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115444920810335631,0.0008885,-0.00203188,-0.00292038,0.0004327,0.00049834,0.00006564,0.00316385,-0.00396776,-0.00713162,0.00052906,0.00042671,-0.00010235,0.03805697,-0.01522175,-0.05327872,0.00056355,0.00041861,-0.00014494,5.0,1,6,4,0,3,0.0,0.1,0.0,0.1,0.2,0.3
57,2025-10-27 07:18:32.112+00,"BIG WIN in Argentina for Javier Milei, a wonderful Trump Endorsed Candidate! He’s making us all look good. Congratulations Javier!",497,4400,23128,[],115444908825959315,-0.0008361,-0.00001639,0.00081972,0.0004691,0.00051401,0.00004491,0.00197656,-0.00339296,-0.00536953,0.00054117,0.0004319,-0.00010927,0.03745604,-0.01550225,-0.05295829,0.00056334,0.00041865,-0.00014469,5.0,1,7,4,3,6,0.1,0.3,0.15,0.4,0.3,0.6
58,2025-10-27 07:14:59.627+00,"The new TRUMP KENNEDY, whoops, I mean, KENNEDY CENTER, columns, beautifully painted in a luxuriant white enamel color, replacing the fake looking gold paint that was there for years. Many major improvements are being made, including seating, carpeting, wall coverings, ceilings, chandeliers, stages, heating and A/C, etc., to what will soon be the finest Arts and Entertainment Center anywhere in the World. Come see for yourself. We are remaining fully open during construction, renovation, and beautification. I am doing the same thing to the United States of America, but only on a “slightly” larger scale!",723,4357,20601,"[{""id"":""115444868181780493"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/868/181/780/493/original/b3d164c98055d33d.jpg"",""meta"":{""small"":{""size"":""693x923"",""width"":693,""aspect"":0.7508125677139762,""height"":923},""original"":{""size"":""878x1170"",""width"":878,""aspect"":0.7504273504273504,""height"":1170}},""type"":""image"",""blurhash"":""UJGS7Q~V00E14=t3s:IUR.adM|M|RPRjWBWB"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/868/181/780/493/small/b3d164c98055d33d.jpg"",""external_video_id"":null,""preview_remote_url"":null},{""id"":""115444868190066395"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/868/190/066/395/original/1d42910a81834a99.jpg"",""meta"":{""small"":{""size"":""924x693"",""width"":924,""aspect"":1.3333333333333333,""height"":693},""original"":{""size"":""1170x877"",""width"":1170,""aspect"":1.3340935005701253,""height"":877}},""type"":""image"",""blurhash"":""ULBphD^tM~fltUxUt4js0PE8${ocIwN3R%oe"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/868/190/066/395/small/1d42910a81834a99.jpg"",""external_video_id"":null,""preview_remote_url"":null}]",115444894900287475,-0.00177468,0.00059801,0.00237269,0.0007225,0.00040511,-0.00031739,0.00323531,-0.00361549,-0.00685079,0.00055155,0.00042518,-0.00012637,0.03680842,-0.0152132,-0.05202162,0.00056285,0.0004186,-0.00014426,5.0,1,4,2,0,3,0.0,0.1,0.0,0.1,0.0,0.1
59,2025-10-27 06:58:43.293+00,"Why would anyone vote for New Jersey and Virginia Gubernatorial Candidates, Mikie Sherrill and Abigail Spanberger, when they want transgender for everybody, men playing in women’s sports, High Crime, and the most expensive Energy prices almost anywhere in the World? VOTE REPUBLICAN for massive Energy Cost reductions, large scale Tax Cuts, and basic Common Sense! Under President Trump, ME, Gasoline will come down to approximately $2 a Gallon, very soon! With the Democrats, you’ll be paying $4, $5, and $6 a Gallon, and your Electric and other Energy costs will, likewise, SOAR. VOTE REPUBLICAN FOR A GREAT AND VERY AFFORDABLE LIFE. All you’ll get from voting Democrat is unrelentingly High Crime, Energy prices through the roof, men playing in women’s sports, and HEARTACHE!",753,4948,18634,[],115444830915442121,0.00152254,-0.00045965,-0.00198219,0.00048419,0.00095683,0.00047264,0.004437,-0.00428733,-0.00872433,0.00041864,0.00055667,0.00013803,0.03914183,-0.01732732,-0.05646915,0.00055763,0.00042414,-0.00013349,5.0,3,7,6,6,8,0.05,0.3,0.1,0.4,0.2,0.6
61,2025-10-27 04:13:18.061+00,RT: https://truthsocial.com/users/realDonaldTrump/statuses/115444178660278615,700,4426,19280,"[{""id"":""115444180055304325"",""url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/180/055/304/325/original/1ee64da574629070.png"",""meta"":{""small"":{""size"":""910x362"",""width"":910,""aspect"":2.5138121546961325,""height"":362},""original"":{""size"":""910x362"",""width"":910,""aspect"":2.5138121546961325,""height"":362}},""type"":""image"",""blurhash"":""U6R{#@D%f5D%01xu4nMxIT%M9FM{xYxuIUa}"",""text_url"":null,""processing"":""complete"",""remote_url"":null,""description"":null,""preview_url"":""https://static-assets-1.truthsocial.com/tmtg:prime-ts-assets/media_attachments/files/115/444/180/055/304/325/small/1ee64da574629070.png"",""external_video_id"":null,""preview_remote_url"":null}]",115444180455250491,0.00182282,0.00006606,-0.00175676,0.0003785,0.00017245,-0.00020604,0.00046542,0.00244123,0.00197581,0.00034969,0.00023026,-0.00011943,0.03382107,-0.01148786,-0.04530893,0.00054591,0.00043094,-0.00011497,5.0,1,2,4,0,0,0.0,0,0.0,0,0.3,0.7
63,2025-10-27 04:08:57.578+00,Congratulations to President Javier Milei on his Landslide Victory in Argentina. He is doing a wonderful job! Our confidence in him was justified by the People of Argentina.,361,3927,18788,[],115444163384468198,0.00037183,0.00169934,0.00132751,0.00018385,0.0003937,0.00020985,0.00018403,0.00418995,0.00400592,0.00034326,0.00022707,-0.00011619,0.03282785,-0.01021477,-0.04304262,0.00054507,0.00043152,-0.00011355,5.0,1,6,5,3,6,0.05,0.2,0.1,0.3,0.1,0.3
